cluster_id,priority,product_id,expires_at
my-recommendations-13579458,1111$40746757,40746757,1657897676
my-recommendations-13579458,1111$40746805,40746805,1657897676
my-recommendations-13579458,1111$40746853,40746853,1657897676
my-recommendations-13579458,1111$40746854,40746854,1657897676
my-recommendations-13579458,1111$40746888,40746888,1657897676
my-recommendations-13579458,1111$40746924,40746924,1657897676
my-recommendations-13579458,1111$40746992,40746992,1657897676
my-recommendations-13579458,1111$40747031,40747031,1657897676
my-recommendations-13579458,1111$40747099,40747099,1657897676
my-recommendations-13579458,1111$40747167,40747167,1657897676
